pop,color,shape
African_taurine-Muturu,#BEBEBE,0
African_taurine-Ndama,#BEBEBE,0
EastAsian_taurine-Hanwoo,#BEBEBE,1
EastAsian_taurine-Yakutian,#BEBEBE,1
Eurasian_taurine-Charolais,#BEBEBE,2
Eurasian_taurine-Gelbvieh,#BEBEBE,2
Eurasian_taurine-Jersey,#BEBEBE,2
Eurasian_taurine-Limousin,#BEBEBE,2
Eurasian_taurine-MaineAnjou,#BEBEBE,2
Eurasian_taurine-Simmental,#BEBEBE,2
European_taurine-Angus,#BEBEBE,3
European_taurine-Devon,#BEBEBE,3
European_taurine-Hereford,#BEBEBE,3
European_taurine-Holstein,#BEBEBE,3
India_Pakistan_indicine-Brahman,#BEBEBE,4
India_Pakistan_indicine-Gir,#BEBEBE,4
India_Pakistan_indicine-Hariana,#BEBEBE,4
India_Pakistan_indicine-Nelore,#BEBEBE,4
India_Pakistan_indicine-Sahiwal,#BEBEBE,4
India_Pakistan_indicine-Tharparkar,#BEBEBE,4
Iran_admixed-Rashoki,#BEBEBE,5
Northwest_Chinese_taurine-Anxi,#BEBEBE,6
Northwest_Chinese_taurine-Chaidamu,#BEBEBE,6
Northwest_Chinese_taurine-hasake,#BEBEBE,6
Northwest_Chinese_taurine-Kazakh,#BEBEBE,6
Northwest_Chinese_taurine-Mongolian,#BEBEBE,6
Northwest_Chinese_taurine-Qaidam,#BEBEBE,6
Northwest_Chinese_taurine-Yanbian,#BEBEBE,6
Tibet-Changdu,#BEBEBE,7
Tibet-Dingjie,#BEBEBE,7
Tibet-Diqing,#BEBEBE,7
Tibet-Tibet,#BEBEBE,7
Tibet-Yushu,#BEBEBE,7
Tibet-Zhangmu,#BEBEBE,7
outgroup,#BEBEBE,8
BosPrimigenius_BED3_Germany_11k_high,#3399FF,0
BosPrimigenius_Holocene_Germany,#3399FF,0
BosPrimigenius_Pleistocene_Germany,#3399FF,0
BosPrimigenius_Pre-LGM_Europe,#3399FF,1
BosPrimigenius_Holocene_Balkans,#3399FF,2
BosPrimigenius_Holocene_Pontic-CaspianSteppe,#3399FF,2
BosPrimigenius_Holocene_Scandinavia,#3399FF,3
BosPrimigenius_Holocene_Italy,#3399FF,4
BosPrimigenius_Pleistocene_Italy,#3399FF,4
BosPrimigenius_CPC98_British_6.75,#3399FF,5
BosPrimigenius_Holocene_Britain,#3399FF,5
BosPrimigenius_Holocene_Iberia,#3399FF,5
BosPrimigenius_Holocene_CentralAsia,#3399FF,6
BosPrimigenius_QG1029_YWYsite_9.00-6.40,#3399FF,7
BosPrimigenius_SongnenPlain_10k,#3399FF,7
BosPrimigenius_SongnenPlain_30-40k,#3399FF,7
BosPrimigenius_SongnenPlain_3-4k,#3399FF,7
BosPrimigenius_TW35_3.4k,#3399FF,7
BosPrimigenius_Pleistocene_Siberia,#3399FF,8
BosPrimigenius_Pre-LGM_NorthAsia,#3399FF,8
BosPrimigenius_Ch22_Anatolia_7.6,#3399FF,9
BosPrimigenius_Gyu2_Armenian_7.04,#3399FF,9
BosPrimigenius_MPPNB_Israel,#3399FF,9
BosPrimigenius_Pleistocene_Caucauses,#3399FF,9
BosPrimigenius_Holocene_Unknown,#3399FF,10
BosPrimigenius_Th7_Morocco_8.801,#3399FF,11
BosGrunniens_BG67_2.4k,#33CC33,0
BosTaurus_Win1_Germany_1.4k_high,#FF9900,0
BosTaurus_Neolithic_Balkans,#FF9900,2
BosTaurus_PostIronAge_Georgia,#FF9900,2
BosTaurus_BronzeAge_Altai,#FF9900,6
BosTaurus_BronzeAge_CentralAsia,#FF9900,6
BosTaurus_Chalcolithic_InnerAsia,#FF9900,6
BosTaurus_IronAge_CentralAsia,#FF9900,6
BosTaurus_Neolithic_CentralAsia,#FF9900,6
BosTaurus_Post-BronzeAge_InnerAsia,#FF9900,6
BosTaurus_BG_2.4k,#FF9900,7
BosTaurus_Shimao_3.835,#FF9900,7
BosTaurus_TW16_3.4k,#FF9900,7
BosTaurus_TW38_3.4k,#FF9900,7
BosTaurus_BronzeAge_Anatolia,#FF9900,9
BosTaurus_BronzeAge_Iran,#FF9900,9
BosTaurus_BronzeAge_SouthernLevant,#FF9900,9
BosTaurus_IronAge_Iran,#FF9900,9
BosTaurus_IronAge_Iraq,#FF9900,9
BosTaurus_IronAge_SouthernLevant,#FF9900,9
BosTaurus_Neolithic_Anatolia,#FF9900,9
BosTaurus_Neolithic_Iran,#FF9900,9
BosTaurus_Neolithic_SouthernLevant,#FF9900,9
BosTaurus_PostIronAge_Iran,#FF9900,9
BosTaurus_PostIronAge_Iraq,#FF9900,9
BosTaurus_Tunisia2-3k,#FF9900,11
C525_ZJZ_3.7-4.2k,#FF0000,0
L6012_ZJZ_3.7-4.2k,#FF0000,1
L7376_GBSL_2.4k,#FF0000,2
Z9851_WJD_1.15k,#FF0000,3
Z9852_WJD_1.15k,#FF0000,4
Z9854_WJDyak_1.1k,#9900CC,5
V0694_Zhadayak_1.8k,#9900CC,6
V1820_Gansu_4.5k,#9900CC,7
V1821_Gansu_4.5k,#9900CC,8
C4311_Russia_41k,#9900CC,9
C4312_Russia_42k,#9900CC,10
